主字段,章节,等级,知识解析,拓展解析
阴阳互损,中医基础理论::病机::阴阳失调,1,概念::阴阳一方虚损发展影响相对的一方，导致[[阴阳两虚]]<br>###机理::阴阳[[互根互用]]关系失调<br>###阴损及阳::阴虚为主的阴阳两虚。如肝肾阴虚先有五心烦热盗汗，后出现畏寒肢冷面色㿠白<br>###阳损及阴::阳虚为主的阴阳两虚。如肾阳虚水肿先有畏寒肢冷，后出现消瘦烦躁甚至抽搐,
阴阳格拒,中医基础理论::病机::阴阳失调,1,概念::阴阳双方相互排斥出现[[寒热真假]]病变的病机。阴阳不能相互维系<br>###阴盛格阳::本质[[真寒假热]]。阴寒极盛内闭于里，阳气浮越于外。真寒：面色苍白四肢逆冷脉微欲绝；假热：面红烦热口渴脉浮大无根<br>###阳盛格阴::本质[[真热假寒]]。阳盛至极内伏于里，排斥阴气于外。真热：壮热面红气粗烦躁舌红脉数大有力；假寒：四肢厥冷(但身热不恶寒，脉沉伏，此为热厥),
阴阳亡失,中医基础理论::病机::阴阳失调,1,亡阳::阳气突然大量脱失。冷汗淋漓、[[四肢厥冷]]。成因：邪盛正衰正不敌邪、过用汗法或汗出过多气随津脱、素体阳虚疲劳过度、慢性消耗长期耗阳<br>###亡阴::阴气突然大量脱失。大汗而皮肤尚温、烦躁、[[脉数疾]]。成因：热邪炽盛迫津外泄、大吐大下阴液大伤、温邪久留耗伤阴液,鉴别::亡阳→冷汗肢冷；亡阴→汗出肤温；气脱→无明显寒象或热象，见气虚不固或生命机能衰竭
精虚,中医基础理论::病机::精气血津液失常,1,肾精不足::先天禀赋不足、后天失养、过劳伤肾，日久累及于肾。表现：生长发育不良、不孕不育、精神委顿、耳鸣健忘、未老先衰<br>###水谷精不足::脾失健运或饮食不当致水谷精乏源。表现：面黄无华、肌肉瘦削、头昏目眩、疲倦乏力,
精的施泄失常,中医基础理论::病机::精气血津液失常,2,失精::生殖之精和水谷之精大量施泄——肾精大量损失出现失精或精脱。封藏依赖[[肾气封藏]]与[[肝气疏泄]]的协调平衡<br>###精瘀::男子精滞精道、排精障碍。可因房劳过度、忍精不泄、瘀血败精湿热瘀阻、肾气虚推动无力、肝气郁结疏泄失职等,失精治疗::补肾气加填肾精，偏实者泻肝火兼滋肾阴<br>###精瘀治疗::或补气、或疏肝、或活血化瘀、或祛痰利湿
气虚,中医基础理论::病机::精气血津液失常,1,概念::一身之气不足表现出相应功能低下的病理变化<br>###成因::生气不足(先天不足后天失养肺脾肾失调)；耗气过多(劳倦内伤久病不复)<br>###表现::精神委顿、[[倦怠乏力]]、眩晕、自汗、易于感冒、面白舌淡脉虚,分型::元气虚＋生长发育迟缓生殖机能低下；宗气虚＋动则心悸气短
气滞,中医基础理论::病机::精气血津液失常,1,概念::局部气运不畅、郁滞不通，导致脏腑经络功能障碍<br>###成因::情志抑郁、痰湿、食积、热郁、瘀血；肝失疏泄、大肠失传导等<br>###特点::[[胀闷痛]],脏腑::肺→胸闷咳喘；肝→情志不畅、胁肋或少腹胀痛；脾胃→脘腹胀痛、大便秘结
气逆,中医基础理论::病机::精气血津液失常,1,概念::上升太过或下降不及，导致脏腑气机上逆<br>###成因::情志所伤、饮食不当、外邪侵袭痰壅气塞、气虚上逆<br>###特点::[[上逆]],脏腑::肺→咳逆气喘；胃→恶心呕吐嗳气呃逆；肝→头痛头胀面红目赤易怒、咯血昏厥(薄厥)
气陷,中医基础理论::病机::精气血津液失常,1,概念::上升不足或下降太过，气虚升举无力而下陷，导致脏腑位置下垂<br>###特点::[[上气不足]]＋[[中气下陷]]，与脾气不升关系密切<br>###表现::上气不足→头晕目眩耳鸣；中气下陷→[[内脏下垂]](胃下垂、肾下垂、子宫脱垂、肛脱),伴随::常伴面色无华、气短乏力、语声低微、脉弱无力、腰腹胀满重坠、便意频频
气闭与气脱,中医基础理论::病机::精气血津液失常,1,气闭::气闭不能外出、[[清窍闭塞]]出现昏厥。成因：触冒秽浊之气、情志刺激、剧痛、痰阻气道。表现：突然昏厥不省人事<br>###气脱::气不内守大量亡失、生命突然衰竭。表现：面色苍白、汗出不止、目闭口开、全身瘫软、手撒、二便失禁、脉微欲绝或脉虚大无根,分类气闭::闭厥、气厥、痛厥、痰厥、热盛闭厥等<br>###鉴别::亡阳→冷汗肢冷；亡阴→汗出肤温脉数疾；气脱→无明显寒象或热象，见气虚不固或生命机能衰竭
血虚,中医基础理论::病机::精气血津液失常,1,成因::失血过多；生成不足(饮食营养不足脾胃虚弱肾精亏虚精不化血)；消耗过多(久病慢性消耗思虑过度营血暗耗)<br>###表现::失荣＋气虚症状——面色淡白或萎黄、唇舌爪甲淡、神疲乏力、头晕目眩、心悸、脉细弱,脏腑::心血虚→惊悸怔忡、失眠多梦健忘、脉细涩结代；肝血虚→目干、视物昏花、手足麻木、关节屈伸不利、月经延期闭经<br>###关系::血虚成因与脾胃、肾关系密切
血瘀,中医基础理论::病机::精气血津液失常,1,成因::气滞、气虚、久病入络、感受寒热外邪(血寒血热)、瘀浊、出血<br>###表现::疼痛(痛有定处夜间加重)、肿块、唇舌紫暗、舌有瘀点、皮肤赤丝红缕或青紫、肌肤甲错、面色黧黑,
血热,中医基础理论::病机::精气血津液失常,1,成因::外感温热之邪入于血分；病邪入里化热伤及血分；五志过极化火郁于血分；阴虚火旺<br>###表现::既有热象又有[[耗血动血扰神伤阴]]特征——①一般热性症状 ②出血(衄血吐血尿血皮肤斑疹月经提前量多) ③面红目赤舌红绛脉数 ④心神不安心烦躁扰甚则神昏谵语发狂,
出血,中医基础理论::病机::精气血津液失常,2,成因::外伤损伤脉络；气虚不摄血液外逸；血分有热迫血妄行；瘀血内阻血不归经<br>###危重::突然大量出血可引起[[气随血脱]]致全身机能衰竭,
气滞血瘀与气虚血瘀,中医基础理论::病机::精气血津液失常,1,气滞血瘀::多因肝肺心气郁滞不畅。肝失疏泄→胸胁胀满疼痛、癥瘕积聚；心肺→咳喘心悸胸痹唇舌青紫<br>###气虚血瘀::多由心气不足或肺脾气虚所致。心气不足→惊悸怔忡喘促水肿；肢体→轻则无力重则软瘫不用甚至萎缩；多见[[老年人]],
气血关系失常,中医基础理论::病机::精气血津液失常,1,气不摄血::脾不统血。各种出血证＋气虚证(面色不华疲乏倦怠脉虚无力舌淡)<br>###气随血脱::大出血后眩晕或晕厥、冷汗淋漓、四肢不温、脉芤细，为[[气血两脱]]<br>###气血两虚::久病消耗或先失血气随血耗或先气虚血渐衰少。面色淡白萎黄少气懒言形体瘦怯心悸失眠肌肤干燥肢体麻木,气血不荣经脉::肢体麻木或运动不便甚则不用，肌肉干燥瘙痒欠温甚则肌肤甲错
精与气血关系失常,中医基础理论::病机::精气血津液失常,2,精气两虚::精气并虚或精伤及气气伤及精。肾之精气亏虚——生长发育迟缓、生殖机能障碍、早衰<br>###精血不足::多种疾病伤及肝肾。肝肾精血不足——面色无华、眩晕耳鸣、神疲健忘、毛发脱落、腰膝酸软<br>###气滞精瘀与血瘀精阻::气机失调疏泄失司及瘀血内阻皆可致精道瘀阻。前者以情志因素为多阴部胀痛重坠明显；后者可见血精阴部小核硬节,
津液不足,中医基础理论::病机::津液代谢失常,1,概念::津液在数量上的亏少，导致内则脏腑外而孔窍皮毛失去濡润滋养<br>###成因::热邪燥邪伤津；丢失过多(吐泻大汗多尿大面积烧伤)；生成不足(体虚久病脏腑功能减退)<br>###伤津::丧失水分为主——目陷、螺瘪、尿少、口干舌燥、皮肤干燥失去弹性<br>###脱液::水分和精微物质共同丢失——形瘦肉脱、肌肉瞤动、手足震颤、舌光红无苔,关系::伤津未必脱液，脱液必兼伤津。伤津乃脱液之渐，液脱乃津伤之甚。伤津易补，[[液脱难复]]<br>###危重::津液耗伤甚→气随液脱而亡阴亡阳——面色苍白四肢不温脉微欲绝
津液输布排泄障碍,中医基础理论::病机::津液代谢失常,1,输布障碍::津液得不到正常输布，在体内环流迟缓或局部滞留——水湿内生酿痰成饮。最主要的是[[脾运化功能障碍]]<br>###排泄障碍::津液转化为汗液和尿液功能减退——水液潴留为水肿。肺气宣发失常→汗液排泄障碍；[[肾气化]]功能减退→尿液生成排泄障碍<br>###脏腑::与肺脾肾膀胱三焦功能失常有关，并受肝失疏泄影响,古文::诸湿肿满，皆属于脾。<br>###表现::湿浊困阻→胸闷脘痞呕恶纳呆苔腻；痰饮凝聚→痰饮悬饮溢饮支饮；水液贮留→心悸水肿腹水
津液与气血功能失调,中医基础理论::病机::津液代谢失常,1,津停气阻::津液代谢障碍水湿痰饮潴留导致气机阻滞——水饮阻肺(胸满咳喘)、水饮凌心(心悸心痛)、水停中焦(脘腹胀满纳呆)、水停四肢(肢体沉重胀痛)<br>###气随液脱::津液丢失太过气随津液外泄暴脱亡失——高热伤津、大汗伤津脱液、严重吐泻耗伤津液<br>###津枯血燥::津液亏乏枯竭导致血燥虚热内生或血燥生风——心烦鼻咽干燥、五心烦热肌肉消瘦、肌肤甲错伴瘙痒<br>###津亏血瘀::津液耗损导致血行郁滞不畅——津液不足基础上出现舌质紫绛瘀点瘀斑斑疹显露,古文::夫血犹舟也，津液水也。津液为火灼竭，则血行愈滞。
内生五邪概述,中医基础理论::病机::内生五邪,1,概念::疾病过程中，由于脏腑阴阳失调和气血津液功能异常，产生的内风、内寒、内湿、内燥、内火的病机变化<br>###脏腑::内风与[[肝]]；内寒与脾肾；内湿与[[脾]]；内燥与肺胃大肠；内火则五脏皆见,
内风(风气内动),中医基础理论::病机::内生五邪,1,概念::脏腑阴阳气血失调，体内阳气亢逆而致风动之征的病机变化。与肝关系密切，又称[[肝风内动]]<br>###机理::阳盛而亢逆，或阴虚不能制阳，[[阳升无制]]<br>###表现::眩晕、头或肢体动摇、抽搐、震颤,古文::诸暴强直，皆属于风。诸风掉眩，皆属于肝。内风乃身中阳气之变动。<br>###注意::并非所有内风皆为肝，如小儿慢脾风主要病机是脾土虚败
内风分类,中医基础理论::病机::内生五邪,1,肝阳化风::情志所伤肝郁化火或年老肝阴亏耗伤肝肾之阴，阴虚阳亢风气内动。轻→眩晕欲仆筋惕肉瞤肢麻震颤口眼喎斜半身不遂；重→血随气逆卒然仆倒神志昏迷<br>###热极生风::火热亢盛煎灼津液伤及营血劫伤肝阴。热性病极期——高热＋痉厥抽搐鼻翼扇动目睛上吊神昏谵语<br>###阴虚风动::热病后期或久病伤阴，阴液大亏。筋挛肉瞤手足蠕动＋低热起伏舌光红少苔脉细如丝<br>###血虚生风::肝血不足筋脉失养。肢体麻木不仁筋肉跳动手足拘挛不伸<br>###血燥生风::津枯血少失润化燥。皮肤干燥肌肤甲错伴皮肤瘙痒或脱屑,鉴别::外风——感受风邪的外感表证(发热恶风汗出脉浮)。外风可引动内风，内风日久正气不足亦可招致外风侵袭
内寒(寒从中生),中医基础理论::病机::内生五邪,1,概念::机体阳气虚衰、温煦气化功能减退、虚寒内生或阴寒之气弥漫的病机变化<br>###表现::①一般：面色苍白畏寒喜热形寒肢冷舌淡苔白滑润脉沉迟弱 ②阳虚蒸化失常：水湿痰饮——尿频清长涕唾清冷大便稀溏水肿 ③瘀血：疼痛剧烈痛处固定遇寒加重,古文::诸病水液，澄澈清冷，皆属于寒。<br>###脏腑::心阳虚→心胸憋闷绞痛面青唇紫；脾阳虚→便溏泄泻；肾阳虚→腰膝冷痛下利清谷小便清长男子阳痿女子宫寒不孕
内湿(湿浊内生),中医基础理论::病机::内生五邪,1,概念::脾气的运化水液功能障碍而引起湿浊蓄积停滞的病机变化。与脾虚关系密切，又称[[脾虚生湿]]<br>###表现::①经脉：头闷重如裹肢体重着屈伸不利 ②湿犯上焦：胸闷咳嗽 ③湿阻下焦：腹胀便溏小便不利 ④泛溢皮肤肌腠：水肿,古文::诸痉项强，皆属于湿。湿胜则濡泄，甚则水闭胕肿。<br>###转化::湿胜可伤脾阳肾阳而致阳虚湿盛；湿浊可聚而为痰留而为饮积而成水
内燥(津伤化燥),中医基础理论::病机::内生五邪,2,概念::体内津液耗伤而干燥少津的病机变化<br>###成因::津液亏少不足以内荣脏腑外润肌腠孔窍，燥由内而生<br>###脏腑::可发生于各脏腑组织，以[[肺、胃、大肠]]为多见,鉴别::外燥伤人多在秋季多易伤肺；内燥由于全身脏腑组织功能失常津液亏少所致。无论外燥内燥都以津液不足脏腑组织失于滋润为特征
内火,中医基础理论::病机::内生五邪,2,概念::五脏阴阳气血失调产生的火热内生病机变化<br>###范围::内火则[[五脏皆可见到]],分类::内容中未单独详细列出内火各分类，可参考阴阳偏衰之阴虚火旺、五志化火、气郁化火等相关条目
内火,中医基础理论::病机::内生五邪,1,概念::脏腑阴阳失调而致火热内扰的病机变化，又称[[内热]]<br>###成因::阳盛有余、阴虚阳亢、五志化火、气血壅滞病邪郁结郁而化火<br>###虚实::阳盛化火、邪郁化火、五志化火多属[[实火]]；阴虚火旺属[[虚火]]<br>###火与热::火为热之极，热为火之渐,主要脏腑::心火、肝火、相火(肾火)、胃火等证
内火分类-实火,中医基础理论::病机::内生五邪,1,阳盛化火::阳气过盛化火称[[壮火]]，气有余便是火。壮热面赤烦躁大汗舌红脉数＋口渴尿少便秘等伤阴津症状<br>###邪郁化火::外感六淫郁而从阳化热化火(寒郁化热湿郁化火等)；病理产物郁积(痰浊瘀血结石食积虫积等)郁而化火<br>###五志化火::情志刺激致气机郁结或亢逆，气郁日久化热、气逆化火。如肝郁气滞气郁化火发为[[肝火]],
内火分类-虚火,中医基础理论::病机::内生五邪,1,阴虚火旺::阴液大伤阴虚阳亢虚热虚火内生<br>###阴虚内热::多见全身性虚热征象——五心烦热、骨蒸潮热、面部烘热、消瘦、盗汗、舌红少苔脉细数无力<br>###阴虚火旺表现::多见集中于某一部位的火热征象——虚火上炎致牙痛齿衄咽痛口干唇燥颧红,鉴别::内火在里在脏腑，外感火热在表在肺卫伴有表证。外火可入里引发内火，内火日久亦可招致外感火热
经络病机概述,中医基础理论::病机::经络病机,2,概念::致病因素直接或间接作用于经络系统而引起的病理变化<br>###气血偏盛偏衰::直接影响与其相络属脏腑的气血盛衰<br>###气血逆乱::经气升降逆乱致气血上逆或下陷——①阴阳之气不相顺接发为厥逆 ②所属脏腑功能紊乱 ③出血(肝火犯肺咯血、阳明热盛衄血)<br>###气血运行不畅::累及所属脏腑功能紊乱；气滞血瘀<br>###气血衰竭::经气衰败至终绝，气血随之衰竭,古文足阳明::气盛则身以前皆热，消谷善饥，溺色黄；气不足则身以前皆寒栗，胃中寒则胀满。
脏腑病机概述,中医基础理论::病机::脏腑病机,1,概念::疾病发生发展过程中脏腑正常生理功能发生失调的内在机理<br>###内容::①各脏腑生理功能的太过或不及及功能之间的失调 ②脏腑本身阴阳气血失调,古文::诸风掉眩皆属于肝；诸寒收引皆属于肾；诸气膹郁皆属于肺；诸湿肿满皆属于脾；诸热瞀瘛皆属于火(心)；诸痛痒疮皆属于心(火)。<br>###传变::见肝之病知肝传脾当先实脾。
心的病机特点,中医基础理论::病机::脏腑病机::心,1,病机特点::①[[血脉异常]]：心脏自身、头面、四肢及全身脏腑功能失常 ②[[神志改变]]：心神失养、心神受扰、心神无主,
心阳心气失调,中医基础理论::病机::脏腑病机::心,1,心阳盛::实证——邪热痰火内郁、情志所伤五志化火；表现：躁扰心神(心悸心烦失眠多梦言语过多甚则狂言昏乱)、血热脉流薄疾(脉数舌红绛出血)、心火上炎或下移(口舌糜烂小便黄赤灼痛)<br>###心阳虚::宗气不足、肾阳虚衰水气凌心、脾气虚痰瘀内生、邪盛阳气暴脱；表现：神衰疲倦反应迟钝、血脉寒滞(形寒肢冷面色㿠白或晦滞青紫心悸怔忡胸闷刺痛自汗大汗脉涩或结代),相互影响::常与肺肾病变互相影响——肺(咳逆上气端坐呼吸)；肾(尿少水肿)
心阴心血失调,中医基础理论::病机::脏腑病机::心,1,心阴虚::劳心过度久病失养、情志内伤心阴暗耗、心肝火旺损伤心阴；表现：阴不制阳虚火内生(五心烦热盗汗)、心神不宁虚烦不眠、舌红脉细数<br>###心血虚::失血、血液生化不足、情志内伤耗损心血；表现：血脉空虚(脉细无力)、失于濡养(面唇舌淡白无华)、心神失守(心悸怔忡神思恍惚失眠多梦惊悸不安)<br>###心血瘀::阳气不足心脉寒滞、痰浊凝聚血脉郁阻、劳倦感寒情志刺激、阳气虚损无以温运；表现：心悸怔忡心胸憋闷刺痛甚则暴痛欲绝肢冷脉伏汗出脱厥,真题::形成心血瘀阻的主要原因：胸阳不振、寒客胸中、痰浊阻滞、宗气虚衰
肺的病机特点,中医基础理论::病机::脏腑病机::肺,1,病机特点::①防御能力失常 ②呼吸功能异常 ③水液代谢失调 ④气的生成不足 ⑤血液敷布无力<br>###病理变化::①呼吸功能失调 ②主气功能失常 ③津液代谢失调 ④血液运行不畅 ⑤卫外功能不固,
肺气宣发肃降失常,中医基础理论::病机::脏腑病机::肺,1,肺气不宣::呼吸不畅(鼻塞咳嗽)、卫气壅滞(恶寒发热无汗)、肺气上逆(咳逆气喘)、通调水道失职(尿少水肿)、宣发无力(自汗易感冒)、肺阴虚盗汗<br>###肺失清肃::下降和清洁呼吸道功能减退(胸闷气促咳嗽痰多)、肺气上逆(咳逆气喘)、通调水道失职(尿少水肿)<br>###发展::肺失宣肃进一步发展均能损耗肺气和肺阴，导致肺气虚损或肺阴不足,
肺气虚与肺阴虚,中医基础理论::病机::脏腑病机::肺,1,肺气虚成因::肺失宣肃日久不复、久病气虚、劳伤过度耗损肺气<br>###肺气虚表现::呼吸机能减退(咳嗽气短声低息微甚则喘促)、津液输布代谢失常(咳痰清稀甚则聚痰成饮水肿)、卫表不固(表虚自汗畏寒)<br>###肺阴虚成因::燥热之邪灼肺、痰火内郁伤肺、五志过极化火灼肺、久咳耗伤肺阴<br>###肺阴虚表现::阴津亏损(干咳无痰或痰少而黏咽干口燥)、阴虚火旺(气短潮热盗汗颧红五心烦热)、虚火灼络(痰中带血)、久之肺肾阴虚,关联::大肠传导失司、宗气不足少气不足以息、肾不纳气、脾失健运
脾的病机特点,中医基础理论::病机::脏腑病机::脾,1,病机特点::①消化吸收功能减退 ②气血生成不足 ③血液运行失常 ④水液代谢失调<br>###病理变化::①消化障碍 ②营养缺乏 ③水液失调 ④气机紊乱 ⑤血液失运 ⑥卫外不固,
脾气虚弱,中医基础理论::病机::脏腑病机::脾,1,运化无权::食欲不振纳食不化腹胀便溏或轻度浮肿<br>###气血乏源::面黄肌瘦少气懒言四肢倦怠乏力等全身气血不足<br>###中气下陷::内脏下垂、久泄脱肛、便意频数、小便淋漓难尽<br>###统摄无权::便血、月经淋漓不断或忽然大下、月经过多、肌衄等各种慢性出血<br>###升降失调::上见头目眩晕、中见脘腹胀闷、下见便溏泄泻<br>###卫外不固::自汗恶风鼻塞清涕神疲乏力反复发作,
脾阳虚与水湿中阻,中医基础理论::病机::脏腑病机::脾,1,脾阳虚成因::脾气虚进一步发展、命门火衰脾失温煦<br>###脾阳虚表现::[[寒从中生]](形寒肢冷脘腹冷痛饮食喜热泄泻清谷)、温化水湿无权(生痰成饮或水泛肌肤为肿)<br>###水湿中阻::脾之阳气不足运化无权＋津液代谢障碍气化失司。表现：脾气虚症状＋脘腹闷痛四肢困倦纳食减少口淡乏味或口腻不渴甚或恶心欲吐大便不实浮肿苔白腻,
脾阴失调,中医基础理论::病机::脏腑病机::脾,2,成因::饮食不节、积郁忧思内伤劳倦、肾水亏乏不能滋脾<br>###表现::脾失健运(食欲减退)、津液不足(唇干口燥大便秘结舌红少苔)、胃阴虚(饥不欲食气上逆干呕呃逆),
肝的病机特点,中医基础理论::病机::脏腑病机::肝,1,病机特点::①体用失调 ②气机失调 ③血液生成运行异常 ④消化吸收功能障碍 ⑤精神情志改变 ⑥水液代谢失常<br>###病理变化::①体用失调 ②气血失和 ③干犯他脏,
肝气郁结,中医基础理论::病机::脏腑病机::肝,1,成因::精神刺激，情志抑郁不畅<br>###气机郁滞::胀满疼痛(两胁胀满或右胁疼痛)<br>###痰气血互结::上可发为瘿瘤梅核气；中可发为少腹胀痛或结块；下可发为少腹疼痛牵引睾丸坠胀、女子痛月经闭<br>###犯胃::肝气上逆嗳气吞酸甚则脘痛<br>###犯脾::痛泻交作,
肝火上炎,中医基础理论::病机::脏腑病机::肝,1,成因::肝郁气滞郁而化火；暴怒伤肝肝气暴张引动肝火；五志过极化火心火亢盛引动肝火<br>###表现::阳气升动太过(头胀头痛面红目赤急躁易怒耳暴鸣暴聋)、胁火内灼耗伤阴血(阴虚火旺)、灼伤肺胃脉络(咳血吐血衄血)、气火上逆之极血菀于上发为[[薄厥]],
肝血亏虚,中医基础理论::病机::脏腑病机::肝,1,成因::失血过多、久病损耗、脾胃虚弱化生功能减退<br>###表现::血虚征象；肝血不荣筋目(肢麻不仁关节屈伸不利爪甲不荣眩晕眼花两目干涩视物模糊)；冲任不足血海空虚(月经量少乃至闭经)；血虚化燥生风虚风内动(皮肤瘙痒筋挛肉瞤瘛疭),
肝阳上亢,中医基础理论::病机::脏腑病机::肝,1,成因::肝阴不足阴不制阳肝阳升浮亢逆；情志失调郁怒伤肝气郁化火耗伤肝阴发展为阴虚阳亢；肾阴不足水不涵木致肝肾阴虚最易引起肝阳上亢<br>###本质::[[本虚标实]]、[[上盛下虚]]<br>###上盛::阳气亢逆属标——眩晕耳鸣头重脚轻面红目赤烦躁易怒脉弦数<br>###下虚::肾肝阴虚属本——腰膝酸软足痿无力,
肝风内动,中医基础理论::病机::脏腑病机::肝,1,成因::肝脏阴阳气血失调，以肝肾阴虚不能制约阳气、肝阳升动太过为多见<br>###范围::邪热炽盛则热盛动风；肝阳升腾无制则阳化为风；肝之阴血耗损太过筋脉失养虚风内动<br>###表现::手足震颤、抽搐、筋惕肉瞤、手足蠕动等风胜则动之表现，甚则卒然昏倒不省人事抽搐痉厥,详参::内生五邪之风气内动
肾的病机特点,中医基础理论::病机::脏腑病机::肾,1,病机特点::①生长发育迟缓 ②生殖功能减退 ③形体官窍失养 ④呼吸功能异常 ⑤水液代谢障碍 ⑥二便排泄失调<br>###病理特点::①肾病多虚 ②易阴阳失调 ③久病及肾,
肾精不足,中医基础理论::病机::脏腑病机::肾,1,成因::禀赋不足、久病失养、房劳过度损耗肾精<br>###小儿::五迟五软、囟门迟闭、鸡胸龟背<br>###青年::阻碍性腺发育成熟(天癸不至)<br>###壮年::早衰性功能减退(阳痿滑泄)、生殖功能减退(男子精少不育女子经闭不孕)<br>###脑髓::智力减退动作迟钝两足痿弱,其他::耳鸣耳聋、头发枯槁、牙齿松动
肾气不固,中医基础理论::病机::脏腑病机::肾,1,成因::幼年精气未充、老年精气衰退、早婚性生活不节耗伤肾气、久病肾虚失于固摄<br>###封藏失职::遗精、滑精、早泄<br>###不纳气::气浮于上动辄气急<br>###二便不固::大便滑脱、小便清长或遗尿尿有余沥或二便失禁,
肾阴亏虚,中医基础理论::病机::脏腑病机::肾,1,成因::伤精失血耗液、过服温燥劫阴之品、情志内伤暗耗精血、房事不节、久病伤肾真阴耗伤、五脏之火五志化火邪热久留化火日久耗肾阴<br>###表现::阴液精血亏少(腰膝酸软形体消瘦眩晕耳鸣少寐健忘女子经少经闭)、阴虚内热或阴虚火旺(五心烦热骨蒸潮热口干咽燥颧红盗汗舌红少苔、相火妄动阳兴梦遗迫血妄行则崩漏),
肾阳不足,中医基础理论::病机::脏腑病机::肾,1,成因::心脾阳虚及肾损耗肾阳、房劳过度肾阳损耗<br>###表现::生殖机能减退(男子阳痿早泄精冷女子宫寒不孕)、水液代谢障碍(水肿或尿频尿闭)、命门火衰不能温煦脾阳(下利清谷五更泄泻),
五脏阳虚,中医基础理论::病机::脏腑病机,2,总特点::多见于心脾肾。阳气不足、功能减退、[[虚寒内生]]<br>###心阳虚::血行不畅，心气不足<br>###脾阳虚::脾虚兼寒，运化能力低下<br>###肾阳虚::温煦失司，气化失常，生殖功能减退,迁延::脾阳虚→脾虚湿困；肾阳虚→水湿内停、心肾阳虚、脾肾阳虚
五脏阳盛,中医基础理论::病机::脏腑病机,2,总特点::火热内盛、耗伤津液、扰乱神明<br>###心火亢盛::火热炽盛耗伤津液、热扰心神、上炎或下移、血行逆常<br>###痰火扰心::痰火内盛和神志异常<br>###肝火上炎::气火上逆头目、精神情志异常,
五脏阴虚,中医基础理论::病机::脏腑病机,2,总特点::阴液不足、[[虚热内生]]。易导致阴虚阳亢的是心肝肾<br>###心阴虚::心阴不足心失所养虚热内盛热扰心神心悸不眠<br>###肺阴虚::阴液不足津伤肺燥阴虚内热阴虚火旺燥咳不止甚骨蒸潮热<br>###脾阴虚::阴液亏虚运化失常精微无源<br>###肝阴虚::阴液亏虚肝经头目筋脉失于濡养虚热内生；阴虚阳亢则肝阳上亢；阴血虚不制阳亢变为肝风内动<br>###肾阴虚::阴液精血亏少虚热虚火内生；可致其他脏阴虚：肺肾阴虚、肝肾阴虚、心肾阴虚,
五脏气虚与气机失调,中医基础理论::病机::脏腑病机,2,总特点气虚::气的不足功能减退，症状以神疲乏力为主<br>###心气虚::运血无力，心神不足<br>###肺气虚::防御能力下降，呼吸功能减退，气的生成不足<br>###脾气虚::消化吸收功能减退，升清降浊失司，水谷精微化生减少<br>###肾气不固::封藏固摄功能失常：膀胱大肠精关带脉冲任等失于固摄<br>###总特点气机失调::肺气宣发肃降失常、肝气郁结<br>###肾不纳气::肾气亏虚摄纳无力吸气困难,
五脏血虚与血瘀,中医基础理论::病机::脏腑病机,2,心血虚::心血不足血脉空虚——心神不宁，头面官窍失于濡养<br>###肝血虚::肝脏及所属形体官窍筋脉头目爪甲失于濡养及女子月经不调<br>###心血瘀::血液运行不畅痹阻心脉——心脉气血运行不畅甚则瘀血阻闭心脉不通,特点::血虚以心肝多见；血瘀以心血瘀常见
五脏精亏,中医基础理论::病机::脏腑病机,2,特点::以[[肾精亏虚]]为本<br>###肾精亏::肾精亏虚功能减退——脑髓骨骼耳窍失养，小儿生长发育迟缓，成人生殖功能减退及未老先衰<br>###肝肾精血亏虚::肝肾同源,
五脏病变相互影响,中医基础理论::病机::脏腑病机,1,心肺::气和血的失调<br>###肺脾::气的生成不足和水液代谢失常<br>###肺肝::气机升降出入运动失调<br>###心脾::心血不足心神不宁和脾虚气弱运化失职(常伴气血两虚)<br>###心肝::血液亏虚与精神情志改变<br>###肝脾::消化吸收障碍、血液生成运行异常<br>###心肾::[[心肾不交]](心阳不能下交于肾肾阴不能上济于心)；肾阳虚水气凌心致心阳虚<br>###肺肾::呼吸运动异常、水液代谢失调与肺肾阴液亏损<br>###脾肾::脾肾阳气不足消化吸收障碍水液代谢失调<br>###肝肾::阴阳失调、精血亏虚、藏泄失司,
表里脏腑病变影响,中医基础理论::病机::脏腑病机,2,心小肠::火热相互转移<br>###肺大肠::气机下调不及和易被燥邪所伤<br>###脾胃::纳运失调、升降失常、燥湿失济<br>###肝胆::胆汁排泄不利和精神情志异常<br>###肾膀胱::尿液贮藏排泄异常,
胆的病机,中医基础理论::病机::脏腑病机::六腑,2,病机特点::胆汁贮藏排泄障碍和胆经郁扰<br>###病理特点::胆病多实多热<br>###表现::①肝失疏泄(胁下胀满食少厌油腻腹胀便溏) ②胆汁上逆(口苦呕吐黄绿苦水) ③胆汁外溢([[黄疸]]) ④胆经郁热夹痰上扰(心烦失眠多梦易惊),
